Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001387,04-06-2015,INR,DixonTechnologies (India) ,18.540,KG,13291.511,0.000,0.000,299.000,0.000,1661.000,0.000,0.000,0.000,15251.511
SI001388,04-06-2015,INR,DixonTechnologies (India) ,333.580,KG,178236.498,0.000,0.000,4011.000,0.000,22279.000,0.000,0.000,0.000,204526.498
SI001389,04-06-2015,INR,DixonTechnologies (India) ,100.455,KG,62012.881,0.000,0.000,1395.000,0.000,7752.000,0.000,0.000,0.000,71159.881
SI001390,04-06-2015,INR,L G Electronics India (P) ,731.895,KG,366533.016,0.000,0.000,0.000,0.000,45817.000,16494.000,4124.000,0.000,432968.016
SI001391,04-06-2015,INR,PREETHI KITCHEN ,1367.850,KG,360556.188,0.000,0.000,8112.000,0.000,45070.000,0.000,0.000,0.000,413738.188
SI001392,04-06-2015,INR,LUMINOUS POWER ,159.245,KG,36705.972,0.000,0.000,826.000,0.000,4588.000,0.000,0.000,0.000,42119.972
SI001393,04-06-2015,INR,LUMINOUS POWER ,497.030,KG,115559.475,0.000,0.000,2600.000,0.000,14445.000,0.000,0.000,0.000,132604.475
SI001394,04-06-2015,INR,Mandeep Cables P Ltd,2994.000,KG,25449.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25449.000
SI001395,04-06-2015,INR,G K WINDING WIRES ,2387.865,KG,1170421.686,0.000,0.000,0.000,0.000,146303.000,0.000,0.000,0.000,1316724.686
SI001396,04-06-2015,INR,G K WINDING WIRES ,748.125,KG,155355.638,0.000,0.000,0.000,0.000,19419.000,0.000,0.000,0.000,174774.638
SI001399,05-06-2015,INR,Denso India Ltd.,81.000,KG,39619.530,0.000,0.000,0.000,0.000,4952.000,1783.000,446.000,0.000,46800.530
SI001400,05-06-2015,INR,Denso India Ltd.,396.000,KG,193695.480,0.000,0.000,0.000,0.000,24212.000,8716.000,2179.000,0.000,228802.480
SI001401,05-06-2015,INR,Denso India Ltd.,423.000,KG,206901.990,0.000,0.000,0.000,0.000,25863.000,9311.000,2328.000,0.000,244403.990
SI001402,05-06-2015,INR,Denso India Ltd.,85.000,KG,42511.050,0.000,0.000,0.000,0.000,5314.000,1913.000,478.000,0.000,50216.050
SI001403,05-06-2015,INR,Denso India Ltd.,254.000,KG,127033.020,0.000,0.000,0.000,0.000,15879.000,5716.000,1429.000,0.000,150057.020
SI001404,05-06-2015,INR,Denso India Ltd.,643.000,KG,321583.590,0.000,0.000,0.000,0.000,40198.000,14471.000,3618.000,0.000,379870.590
SI001405,05-06-2015,INR,Denso India Ltd.,334.000,KG,167043.420,0.000,0.000,0.000,0.000,20880.000,7517.000,1879.000,0.000,197319.420
SI001406,05-06-2015,INR,Denso India Ltd.,322.000,KG,157499.860,0.000,0.000,0.000,0.000,19687.000,7087.000,1772.000,0.000,186045.860
SI001407,05-06-2015,INR,Denso India Ltd.,893.000,KG,445723.090,0.000,0.000,0.000,0.000,55715.000,20058.000,5014.000,0.000,526510.090
SI001408,05-06-2015,INR,Denso India Ltd.,447.000,KG,223111.110,0.000,0.000,0.000,0.000,27889.000,10040.000,2510.000,0.000,263550.110
SI001409,05-06-2015,INR,Denso India Ltd.,488.000,KG,243087.440,0.000,0.000,0.000,0.000,30386.000,10939.000,2735.000,0.000,287147.440
SI001410,05-06-2015,INR,Denso India Ltd.,187.000,KG,93337.310,0.000,0.000,0.000,0.000,11667.000,4200.000,1050.000,0.000,110254.310
SI001411,05-06-2015,INR,Denso India Ltd.,171.000,KG,88942.230,0.000,0.000,0.000,0.000,11118.000,4002.000,1001.000,0.000,105063.230
SI001412,05-06-2015,INR,Denso India Ltd.,165.000,KG,85821.450,0.000,0.000,0.000,0.000,10728.000,3862.000,965.000,0.000,101376.450
SI001413,05-06-2015,INR,Denso India Ltd.,415.000,KG,204233.950,0.000,0.000,0.000,0.000,25529.000,9191.000,2298.000,0.000,241251.950
SI001414,05-06-2015,INR,G K WINDING WIRES ,1297.700,KG,658832.812,0.000,0.000,0.000,0.000,82354.000,0.000,0.000,0.000,741186.812
SI001415,05-06-2015,INR,Puri Electronics Pvt Ltd,95.040,KG,60486.307,0.000,0.000,1361.000,0.000,7561.000,0.000,0.000,0.000,69408.307
SI001416,05-06-2015,INR,NTL ElECTRONICS INDIA ,298.480,KG,157889.950,0.000,0.000,0.000,0.000,19736.000,7105.000,1776.000,0.000,186506.950
Invoice Id,Invoice Date,Currency,Customer,Qty,Unit,Gross,Discount,Other Charges,CENTRAL SALES TAX PAYABLE - 2.00%,CENTRAL SALES TAX PAYABLE - 5%,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,,Net Amount
SI001417,05-06-2015,INR,YMD ELECTROMAC PVT. ,297.960,KG,157614.881,0.000,0.000,0.000,0.000,19702.000,7093.000,1773.000,0.000,186182.881
SI001418,05-06-2015,INR,N.J.ELECTRONICS,534.980,KG,286818.654,0.000,0.000,0.000,0.000,35852.000,12907.000,3226.000,0.000,338803.654
SI001419,05-06-2015,INR,C&S Electricals Ltd.,2050.375,KG,1110335.360,0.000,0.000,0.000,0.000,138792.000,49965.000,12491.000,0.000,1311583.360
SI001420,05-06-2015,INR,C&S Electricals Ltd.,24.115,KG,12885.127,0.000,0.000,0.000,0.000,1611.000,580.000,145.000,0.000,15221.127
SI001421,05-06-2015,INR,AMELCO KABLE PVT. ,3024.000,KG,21168.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,21168.000
SI001422,05-06-2015,INR,L G Electronics India (P) ,1224.160,KG,613059.328,0.000,0.000,0.000,0.000,76632.000,27588.000,6897.000,0.000,724176.328
SI001423,05-06-2015,INR,NOIDA ELECTRONICS (U-,1578.000,KG,13728.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13728.600
SI001424,05-06-2015,INR,A K ELECTRICAL WORKS,6.225,KG,2983.767,0.000,0.000,0.000,0.000,373.000,134.000,34.000,0.000,3524.767
SI001425,05-06-2015,INR,G K WINDING WIRES ,1268.330,KG,694802.283,0.000,0.000,0.000,0.000,86850.000,0.000,0.000,0.000,781652.284
SI001426,05-06-2015,INR,G K WINDING WIRES ,2880.895,KG,1442178.326,0.000,0.000,0.000,0.000,180272.000,0.000,0.000,0.000,1622450.326
