Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000163,14-05-2015,Bharat Box Company,RCPT0000000087,048,07-05-2015,MRN-339,07-05-2015,INR,WRAPPER-PT-10/15 -  195 X 640 MM,KG,545.00,25070.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1003.00,0.00,251.00,0.00
PB0000164,14-05-2015,MAHESH PAINTS & HARDWARE STORE,,130/m340,,,,INR,MISC. BUILDING MATERIALS,KG,10.00,1700.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,17.00,0.00
PB0000165,14-05-2015,RAMESH PAINT & HARDWARE STORE,,MRN-341 BILL224,07-05-2015,,,INR,WHITE WASH & PAINTS & BRUSHES,PCS,1.00,21618.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000166,14-05-2015,Hindalco,RCPT0000000065,DGH/15000335,07-05-2015,MRN-342,07-05-2015,INR,COPPER WIRE / ROD,KG,5980.00,2493660.00,2990.00,0.00,0.00,0.00,311708.00,0.00,0.00,112215.00,0.00,28054.00,0.00
PB0000167,14-05-2015,Hindalco,RCPT0000000066,DGH/15000336,07-05-2015,MRN-343,07-05-2015,INR,COPPER WIRE / ROD,KG,3004.00,1252668.00,1502.00,0.00,0.00,0.00,156584.00,0.00,0.00,56370.00,0.00,14093.00,0.00
PB0000168,14-05-2015,Hindalco,RCPT0000000067,DGH/15000337,07-05-2015,MRN-344,07-05-2015,INR,COPPER WIRE / ROD,KG,2998.00,1250166.00,1499.00,0.00,0.00,0.00,156271.00,0.00,0.00,56257.00,0.00,14064.00,0.00
PB0000169,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000088,57,07-05-2015,MRN-347,07-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,1.00,1650.00,0.00,0.00,0.00,0.00,206.00,0.00,0.00,74.00,0.00,19.00,0.00
PB0000170,14-05-2015,Hindalco,RCPT0000000027,DCR/15000767,07-05-2015,MRN-352,08-05-2015,INR,COPPER WIRE / ROD,KG,3030.00,1263510.00,0.00,0.00,14214.00,0.00,157939.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000171,14-05-2015,Hindalco,RCPT0000000028,DCR/15000768,07-05-2015,MRN-353,08-05-2015,INR,COPPER WIRE / ROD,KG,2994.00,1248498.00,0.00,0.00,14046.00,0.00,156062.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000172,14-05-2015,LAXMAN SHARMA (SUPPLIERT),RCPT0000000089,17,08-05-2015,MRN-354,08-05-2015,INR,WOODEN BOX 38*29*27,PCS,6.00,5820.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000173,14-05-2015,Rathi Adhesive Tape (P) Ltd.,RCPT0000000090,58,08-05-2015,MRN-356,08-05-2015,INR,"TAPE- 2"" TRANSPARENT",PCS,405.00,10125.00,0.00,0.00,0.00,0.00,1266.00,0.00,0.00,456.00,0.00,114.00,0.00
PB0000174,14-05-2015,Hindalco,RCPT0000000029,DCR/15000769,07-05-2015,MRN-357,08-05-2015,INR,COPPER WIRE / ROD,KG,5962.00,2486154.00,0.00,0.00,27969.00,0.00,310769.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000175,15-05-2015,Hindalco,RCPT0000000068,DGH/15000372,12-05-2015,MRN-410,12-05-2015,INR,COPPER WIRE / ROD,KG,2087.00,891149.00,1043.50,0.00,0.00,0.00,111394.00,0.00,0.00,40102.00,0.00,10025.00,0.00
PB0000176,15-05-2015,Hindalco,RCPT0000000069,DGH/15000373,12-05-2015,MRN-411,12-05-2015,INR,COPPER WIRE / ROD,KG,4020.00,1716540.00,2010.00,0.00,0.00,0.00,214568.00,0.00,0.00,77244.00,0.00,19311.00,0.00
PB0000177,15-05-2015,Hindalco,RCPT0000000070,DGH/15000378,13-05-2015,MRN-418,13-05-2015,INR,COPPER WIRE / ROD,KG,2987.00,1275449.00,1493.50,0.00,0.00,0.00,159431.00,0.00,0.00,57395.00,0.00,14349.00,0.00
PB0000178,15-05-2015,Hindalco,RCPT0000000071,DGH/15000379,13-05-2015,MRN-419,13-05-2015,INR,COPPER WIRE / ROD,KG,3012.00,1286124.00,1506.00,0.00,0.00,0.00,160766.00,0.00,0.00,57876.00,0.00,14469.00,0.00
PB0000179,15-05-2015,Hindalco,RCPT0000000072,DGH/15000377,13-05-2015,MRN-420,13-05-2015,INR,COPPER WIRE / ROD,KG,5935.00,2534245.00,2967.50,0.00,0.00,0.00,316781.00,0.00,0.00,114041.00,0.00,28510.00,0.00
PB0000180,15-05-2015,Hindalco,RCPT0000000073,DGH/15000380,13-05-2015,MRN-421,13-05-2015,INR,COPPER WIRE / ROD,KG,5879.00,2510333.00,2939.50,0.00,0.00,0.00,313792.00,0.00,0.00,112965.00,0.00,28241.00,0.00
PB0000181,15-05-2015,Hindalco,RCPT0000000074,DGH/15000388,14-05-2015,MRN-427,14-05-2015,INR,COPPER WIRE / ROD,KG,6157.00,2629039.00,3078.50,0.00,0.00,0.00,328630.00,0.00,0.00,118307.00,0.00,29577.00,0.00
PB0000182,15-05-2015,Bharat Box Company,RCPT0000000091,057,14-05-2015,MRN-428,14-05-2015,INR,"CORRUGATED BOX PT- 4, 11.50X11.50X8- 5 PLY",PCS,994.00,23607.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,944.00,0.00,236.00,0.00
,,,,,,,,,CORRUGATED BOX-PT-10 INTERLOCK,PCS,1404.00,18252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,730.00,0.00,183.00,0.00
PB0000183,15-05-2015,Hindalco,RCPT0000000075,DGH/15000389,14-05-2015,MRN-430,14-05-2015,INR,COPPER WIRE / ROD,KG,5946.00,2538942.00,2973.00,0.00,0.00,0.00,317368.00,0.00,0.00,114252.00,0.00,28563.00,0.00
PB0000184,15-05-2015,Hindalco,RCPT0000000030,DCR/15000865,14-05-2015,MRN-435,15-05-2015,INR,COPPER WIRE / ROD,KG,5960.00,2544920.00,0.00,0.00,28630.00,0.00,318115.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000185,15-05-2015,Hindalco,RCPT0000000076,DGH/15000400,15-05-2015,MRN-438,15-05-2015,INR,COPPER WIRE / ROD,KG,5918.00,2526986.00,2959.00,0.00,0.00,0.00,315873.00,0.00,0.00,113714.00,0.00,28429.00,0.00
PB0000186,15-05-2015,Hindalco,RCPT0000000077,DGH/1500399,15-05-2015,MRN-439,15-05-2015,INR,COPPER WIRE / ROD,KG,5929.00,2531683.00,2964.50,0.00,0.00,0.00,316460.00,0.00,0.00,113926.00,0.00,28481.00,0.00
PB0000187,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000024,363,07-05-2015,MRN-351,07-05-2015,INR,BEARING - 3308,PCS,2.00,8716.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.00,0.00,87.00,0.00
,,,,,,,,,BEARING - 6306,PCS,2.00,513.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,5.00,0.00
PB0000188,15-05-2015,V.S. Traders,,MRN-359 BILL 37,08-05-2015,,,INR,PIPE & PIPE FITTINGS,PCS,1.00,7084.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,283.00,0.00,71.00,0.00
Invoice No,Invoice Date,Supplier Name,Receipt No.,Bill No.,Bill Date,D.N. No.,D.N. Date,Currency,Item Description,Unit,Quantity,Gross Amount,Discount,Central Sales Tax Payable - 2.00%,Cst Purchase @1%,Cst Purchase @2%,Excise On Purchase 12.50%,Excise On Purchase @14%,Input Vat - 12.50% Up,Input Vat - 4.00% Up,Input Vat Additional - 1.50% ,Input Vat Additional. - 1% Up,
PB0000189,15-05-2015,PERFECT PACKERS,RCPT0000000092,,,,,INR,"TAPE- 1"" TRANSPARENT",PCS,1.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,30.00,0.00
PB0000190,15-05-2015,Vikas Spool PVt. Ltd,RCPT0000000093,309,08-05-2015,MRN-372,09-05-2015,INR,PLAS SPOOL PT-25,PCS,1600.00,68400.00,0.00,0.00,0.00,1539.00,8550.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,PLASTIC SPOOL PT-20,PCS,520.00,20150.00,0.00,0.00,0.00,453.00,2519.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000191,15-05-2015,Ganesh Electricals,,MRN-373 BILL 279,08-05-2015,,,INR,ELECTRICAL-MISC,PCS,1.00,1900.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.00,0.00,19.00,0.00
,,,,,,,,,,,,8670.00,0.00,0.00,0.00,0.00,0.00,0.00,1084.00,0.00,130.00,0.00,0.00
PB0000192,15-05-2015,Shri Balaji House Keeping Service,,MRN-377 BILL77,09-05-2015,,,INR,HOUSE KEEPING MACHINE SPARE PARTS,PCS,1.00,7663.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PB0000193,15-05-2015,Arvind Bearing & Mill Store,RCPT0000000025,376,09-05-2015,MRN-380,09-05-2015,INR,BEARING- 6301-2Z,PCS,4.00,324.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,3.00,0.00
,,,,,,,,,BEARING- 6305,PCS,2.00,438.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,4.00,0.00
PB0000194,15-05-2015,Walson Woodburn Wire Die Pvt Ltd.,,MRN-381 BILL 135,06-05-2015,,,INR,DIES WIRE DRAWING PCD,PCS,1.00,10485.00,0.00,0.00,0.00,236.00,1311.00,0.00,0.00,0.00,0.00,0.00,0.00
