,,SI001068,20-05-2015,CU0.17SSFINEPT-10,INR,G K WINDING WIRES LTD. - DELHI,257.670,KG,149.449,0000010100086,19.000,0.000,0.000,0.000,0.000,168.449,,,,,,,,
,,SI001071,20-05-2015,CU33SSMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,355.830,KG,206.381,0000010100086,26.000,0.000,0.000,0.000,0.000,232.381,,,,,,,,
,,,,CU36MPMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,416.475,KG,15721.931,0000010100091,1965.000,0.000,0.000,0.000,0.000,17686.931,,,,,,,,
,,,,CU36SSMEDPT-10,INR,G K WINDING WIRES LTD. - PUNE,109.085,KG,63.269,0000010100086,8.000,0.000,0.000,0.000,0.000,71.269,,,,,,,,
,,SI001091,21-05-2015,AL28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,238.760,KG,2566.670,0000010100094,321.000,0.000,0.000,0.000,0.000,2887.670,,,,,,,,
,,,,AL31MPMEDPT-10,INR,G K WINDING WIRES LTD. - FARIDABAD,351.550,KG,1318.312,0000010100094,165.000,0.000,0.000,0.000,0.000,1483.312,,,,,,,,
,,SI001135,23-05-2015,CU0.1SSFINEPT-4,INR,G K WINDING WIRES LTD. - FARIDABAD,101.180,KG,13236.368,0000010100086,1655.000,0.000,0.000,0.000,0.000,14891.368,,,,,,,,
,,,,CU29MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,20.200,KG,7777.202,0000010100091,972.000,0.000,0.000,0.000,0.000,8749.202,,,,,,,,
,,SI001136,23-05-2015,CU23.5DCMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,513.425,KG,14663.418,0000010100086,1833.000,0.000,0.000,0.000,0.000,16496.418,,,,,,,,
,,SI001181,26-05-2015,CU20HCMEDM-266,INR,G K WINDING WIRES LTD. - DELHI,24.030,KG,905.210,0000010100086,113.000,0.000,0.000,0.000,0.000,1018.210,,,,,,,,
,,,,CU27MPFINEPT-25,INR,G K WINDING WIRES LTD. - DELHI,12.830,KG,450.718,0000010100086,56.000,0.000,0.000,0.000,0.000,506.718,,,,,,,,
,,SI001210,27-05-2015,CU0.363HSSFINEPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,272.165,KG,2103.836,0000010100086,263.000,0.000,0.000,0.000,0.000,2366.836,,,,,,,,
,,SI001213,27-05-2015,CU28MPMEDPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,94.750,KG,41436.070,0000010100087,5180.000,0.000,0.000,0.000,0.000,46616.070,,,,,,,,
,,SI001227,28-05-2015,CU23.5MPMEDPT-25,INR,Anil Dieseal Pvt Ltd.,45.520,KG,227.600,0000010100027,28.000,10.000,3.000,0.000,0.000,268.600,,,,,,,,
,,SI001234,28-05-2015,CU44SSFINEPT-4,INR,G K WINDING WIRES LTD. - FARIDABAD,442.625,KG,57156.166,0000010100086,7145.000,0.000,0.000,0.000,0.000,64301.166,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page 5 of,,,, 11
,"13-Jul-2015 , 3.35 PM",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,G.K. WINDING WIRES LTD,,,,,,,
,,,,,,,,,,,,,,,,,,,Sale Invoice Register,,,,,
,,,,,,,,,,,,,,,,,,,,,01-04-2015,,23-06-2015,
,,,,,,,,,,,,,,,,,,From,,,,To,,
Organisation : G.K. WINDING WIRES LTD,,,,,,,,,,,,,,,,,,,,,,,,
,,Invoice Id,Invoice Date,Item Description,Currency,Customer,Qty,Unit,Gross,,EXCISE ON SALES - 12.50%,OUTPUT VAT PAYABLE  @ 4%,OUTPUT VAT PAYABLE ADDITIONAL @ 1%,CENTRAL SALES TAX PAYABLE - 2.00%,,Net Amount,,,,,,,,
,,SI001249,29-05-2015,CU20HCMEDM-266,INR,G K WINDING WIRES LTD. - DELHI,197.980,KG,7457.907,0000010100086,932.000,0.000,0.000,0.000,0.000,8389.907,,,,,,,,
,,SI001251,29-05-2015,CU0.95DCMEDPT-180,INR,G K WINDING WIRES LTD. - PUNE,658.540,KG,5742.469,0000010100085,718.000,0.000,0.000,0.000,0.000,6460.469,,,,,,,,
,,SI001255,29-05-2015,CU0.363HSSFINEPT-25,INR,G K WINDING WIRES LTD. - FARIDABAD,494.025,KG,13867.282,0000010100086,1733.000,0.000,0.000,0.000,0.000,15600.282,,,,,,,,
,,SI001264,29-05-2015,CU0.25SSFINEPT-10,INR,Elin Electronics Ltd,274.640,KG,5366.466,0000010100027,671.000,241.000,60.000,0.000,0.000,6338.466,,,,,,,,
,,,,CU40SSMEDPT-4,INR,Elin Electronics Ltd,785.900,KG,15356.486,0000010100086,960.000,346.000,87.000,0.000,0.000,18142.486,,,,,,,,
,,SI001265,29-05-2015,CU36SSNYLONMEDPT-10,INR,HAVELLS INDIA LTD ( HARIDWAR),4680.110,KG,214161.834,0000010100027,26770.000,0.000,0.000,4818.000,0.000,245749.834,,,,,,,,
,,,,CU37SSMEDPT-10,INR,HAVELLS INDIA LTD ( HARIDWAR),2492.270,KG,114046.275,0000010100086,14256.000,0.000,0.000,2566.000,0.000,130868.275,,,,,,,,
,,,,CU38SSMEDPT-10,INR,HAVELLS INDIA LTD ( HARIDWAR),137.740,KG,6302.982,0000010100086,788.000,0.000,0.000,142.000,0.000,7232.982,,,,,,,,
,,SI001294,30-05-2015,CU30MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,4085.840,KG,90787.365,0000010100091,8657.000,0.000,0.000,0.000,0.000,102135.365,,,,,,,,
,,,,CU30MPMEDPT-25,INR,G K WINDING WIRES LTD. - DELHI,506.585,KG,11256.319,0000010100091,1407.000,0.000,0.000,0.000,0.000,12663.319,,,,,,,,
,,,,CU32MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,6171.325,KG,137126.842,0000010100091,10132.000,0.000,0.000,0.000,0.000,154266.842,,,,,,,,
,,,,CU33MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,532.225,KG,11826.040,0000010100091,1478.000,0.000,0.000,0.000,0.000,13304.040,,,,,,,,
,,,,CU34MPMEDPT-10,INR,G K WINDING WIRES LTD. - DELHI,2108.920,KG,46860.202,0000010100091,3627.000,0.000,0.000,0.000,0.000,52718.202,,,,,,,,
