Customer Name,Invoice No.,Invoice Date,Invoice Type,Currency,Item No.,Item Name,Unit,Qty,Price,Gross Amount(Specific),"Tax
(Specific)",Discount,Net Amount(Specific),Net Amount(Base)
India Nippon Electrical Ltd ( UN III ),SI000117,07-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,962.430,486.050,467789.102,58474.000,429292.000,96971.102,96971.102
India Nippon Electrical Ltd ( UN III ),SI000118,07-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,2840.505,474.250,1347109.496,168389.000,1233489.000,282009.496,282009.496
India Nippon Electrical Ltd ( UN III ),SI000218,10-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,148.495,474.250,70423.754,8803.000,64484.000,14742.754,14742.754
India Nippon Electrical Ltd ( UN III ),SI000219,10-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,3663.755,486.050,1780768.118,222596.000,1634218.000,369146.118,369146.118
India Nippon Electrical Ltd ( UN III ),SI000318,15-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,3798.530,486.050,1846275.506,230784.000,1694334.000,382725.506,382725.506
India Nippon Electrical Ltd ( UN III ),SI000613,30-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,1549.715,486.050,753238.976,94155.000,691250.000,156143.976,156143.976
India Nippon Electrical Ltd ( UN III ),SI000614,30-04-2015,DIRECT INVOICE,INR,CU0.9DCMEDPT-45,CU0.9DCMEDPT-45,KG,2178.215,486.050,1058721.401,132340.000,971593.000,219468.401,219468.401
J D Engineering,SI000186,10-04-2015,DIRECT INVOICE,INR,CU25MPMEDPT-25,CU25MPMEDPT-25,KG,895.425,490.250,438982.106,64750.000,0.000,503732.106,503732.106
J D Engineering,SI000377,18-04-2015,DIRECT INVOICE,INR,CU29DCMEDPT-25,CU29DCMEDPT-25,KG,647.165,508.200,328889.253,48511.000,0.000,377400.253,377400.253
J D Engineering,SI000452,23-04-2015,DIRECT INVOICE,INR,CU25MPMEDPT-25,CU25MPMEDPT-25,KG,693.460,485.060,336369.708,49614.000,0.000,385983.708,385983.708
J D Engineering,SI000524,27-04-2015,DIRECT INVOICE,INR,CU24MPMEDPT-25,CU24MPMEDPT-25,KG,513.985,487.070,250346.674,36926.000,0.000,287272.674,287272.674
J D Engineering,SI000524,27-04-2015,DIRECT INVOICE,INR,CU26MPMEDPT-25,CU26MPMEDPT-25,KG,665.435,488.070,324778.860,47905.000,0.000,372683.860,372683.860
Kanik Electronics Pvt Ltd,SI000018,02-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,1110.050,504.230,559720.512,82559.000,0.000,642279.512,642279.512
Kanik Electronics Pvt Ltd,SI000076,04-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,516.370,504.230,260369.245,38404.000,0.000,298773.245,298773.245
Kanik Electronics Pvt Ltd,SI000076,04-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,418.140,508.230,212511.292,31346.000,0.000,243857.292,243857.292
Kanik Electronics Pvt Ltd,SI000076,04-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,201.445,604.230,121719.112,17954.000,0.000,139673.112,139673.112
Kanik Electronics Pvt Ltd,SI000122,07-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,997.425,498.290,497006.903,73309.000,0.000,570315.903,570315.903
Kanik Electronics Pvt Ltd,SI000122,07-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,140.845,598.290,84266.155,12429.000,0.000,96695.155,96695.155
Kanik Electronics Pvt Ltd,SI000179,09-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,199.055,498.290,99187.116,14630.000,0.000,113817.116,113817.116
Kanik Electronics Pvt Ltd,SI000179,09-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,112.165,502.290,56339.358,8310.000,0.000,64649.358,64649.358
Kanik Electronics Pvt Ltd,SI000179,09-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,195.675,598.290,117070.396,17268.000,0.000,134338.396,134338.396
Kanik Electronics Pvt Ltd,SI000246,11-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,498.580,502.290,250431.748,36939.000,0.000,287370.748,287370.748
Kanik Electronics Pvt Ltd,SI000246,11-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,252.605,506.290,127891.386,18864.000,0.000,146755.386,146755.386
Kanik Electronics Pvt Ltd,SI000246,11-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,199.055,598.290,119092.616,17567.000,0.000,136659.616,136659.616
Kanik Electronics Pvt Ltd,SI000291,14-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,214.815,496.260,106604.092,15725.000,0.000,122329.092,122329.092
Kanik Electronics Pvt Ltd,SI000291,14-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,392.980,500.260,196592.175,28997.000,0.000,225589.175,225589.175
Kanik Electronics Pvt Ltd,SI000291,14-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,208.295,596.260,124197.977,18319.000,0.000,142516.977,142516.977
Kanik Electronics Pvt Ltd,SI000366,17-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,292.855,496.260,145332.222,21437.000,0.000,166769.222,166769.222
Kanik Electronics Pvt Ltd,SI000366,17-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,496.580,500.260,248419.111,36641.000,0.000,285060.111,285060.111
Kanik Electronics Pvt Ltd,SI000366,17-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,97.840,504.260,49336.798,7277.000,0.000,56613.798,56613.798
Kanik Electronics Pvt Ltd,SI000366,17-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,201.910,596.260,120390.857,17758.000,0.000,138148.857,138148.857
Kanik Electronics Pvt Ltd,SI000446,22-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,204.855,493.150,101024.243,14901.000,0.000,115925.243,115925.243
Kanik Electronics Pvt Ltd,SI000446,22-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,284.200,497.150,141290.030,20840.000,0.000,162130.030,162130.030
Kanik Electronics Pvt Ltd,SI000446,22-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,202.865,593.150,120329.375,17748.000,0.000,138077.375,138077.375
Kanik Electronics Pvt Ltd,SI000493,24-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,528.030,493.150,260397.994,38409.000,0.000,298806.994,298806.994
Kanik Electronics Pvt Ltd,SI000493,24-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,470.165,497.150,233742.530,34477.000,0.000,268219.530,268219.530
Kanik Electronics Pvt Ltd,SI000538,27-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,817.720,495.140,404885.881,59721.000,0.000,464606.881,464606.881
Kanik Electronics Pvt Ltd,SI000538,27-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,741.820,499.140,370272.035,54615.000,0.000,424887.035,424887.035
Kanik Electronics Pvt Ltd,SI000538,27-04-2015,DIRECT INVOICE,INR,CU37SSMEDPT-10,CU37SSMEDPT-10,KG,147.170,503.140,74047.114,10922.000,0.000,84969.114,84969.114
Kanik Electronics Pvt Ltd,SI000538,27-04-2015,DIRECT INVOICE,INR,CU38*4SSMEDPT-10,CU38*4SSMEDPT-10,KG,88.995,595.140,52964.484,7813.000,0.000,60777.484,60777.484
Kanik Electronics Pvt Ltd,SI000588,29-04-2015,DIRECT INVOICE,INR,CU30SSMEDPT-10,CU30SSMEDPT-10,KG,423.210,495.140,209548.199,30909.000,0.000,240457.199,240457.199
Kanik Electronics Pvt Ltd,SI000588,29-04-2015,DIRECT INVOICE,INR,CU34SSMEDPT-10,CU34SSMEDPT-10,KG,466.550,499.140,232873.767,34349.000,0.000,267222.767,267222.767
Kaynes Technology India P Ltd,SI000287,14-04-2015,DIRECT INVOICE,INR,CU0.71SSMEDPT-25,CU0.71SSMEDPT-25,KG,1317.445,438.200,577304.399,11546.000,0.000,588850.399,588850.399
Kaynes Technology India P Ltd,SI000557,28-04-2015,DIRECT INVOICE,INR,CU0.71SSMEDPT-25,CU0.71SSMEDPT-25,KG,680.475,438.200,298184.145,5964.000,0.000,304148.145,304148.145
LAKHSHMI MAGNET WIRES PVT. LTD.,SI000579,29-04-2015,DIRECT INVOICE,INR,RMALAL WIRE / ROD,ALUMINIUM WIRE / ROD,KG,415.300,174.000,72262.200,10659.000,0.000,82921.200,82921.200
L G Electronics India (P) Ltd,SI000001,01-04-2015,DIRECT INVOICE,INR,CU0.6DCMEDPT-90,CU0.6DCMEDPT-90,KG,82.020,474.300,38902.086,7052.000,0.000,45954.086,45954.086
L G Electronics India (P) Ltd,SI000074,04-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,707.290,475.800,336528.582,60996.000,0.000,397524.582,397524.582
L G Electronics India (P) Ltd,SI000096,06-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,742.720,475.800,353386.176,64051.000,0.000,417437.176,417437.176
L G Electronics India (P) Ltd,SI000137,08-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,1463.155,482.600,706118.603,127984.000,0.000,834102.603,834102.603
L G Electronics India (P) Ltd,SI000144,08-04-2015,DIRECT INVOICE,INR,CU0.5DCMEDPT-90,CU0.5DCMEDPT-90,KG,962.720,482.600,464608.672,84210.000,0.000,548818.672,548818.672
L G Electronics India (P) Ltd,SI000145,08-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,1209.515,482.600,583711.939,105798.000,0.000,689509.939,689509.939
L G Electronics India (P) Ltd,SI000205,10-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,988.030,482.600,476823.278,86424.000,0.000,563247.278,563247.278
L G Electronics India (P) Ltd,SI000241,11-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,1233.885,482.600,595472.900,107929.000,0.000,703401.900,703401.900
L G Electronics India (P) Ltd,SI000264,13-04-2015,DIRECT INVOICE,INR,CU0.75DCMEDPT-90,CU0.75DCMEDPT-90,KG,757.105,480.600,363864.663,65950.000,0.000,429814.663,429814.663
L G Electronics India (P) Ltd,SI000265,13-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,2665.275,482.600,1286261.715,233135.000,0.000,1519396.715,1519396.715
L G Electronics India (P) Ltd,SI000283,14-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,1461.110,482.600,705131.686,127805.000,0.000,832936.686,832936.686
L G Electronics India (P) Ltd,SI000336,16-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,513.040,482.600,247593.104,44876.000,0.000,292469.104,292469.104
L G Electronics India (P) Ltd,SI000359,17-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,741.940,482.600,358060.244,64899.000,0.000,422959.244,422959.244
L G Electronics India (P) Ltd,SI000404,20-04-2015,DIRECT INVOICE,INR,CU0.45DCMEDPT-90,CU0.45DCMEDPT-90,KG,749.055,484.600,362992.053,65793.000,0.000,428785.053,428785.053
L G Electronics India (P) Ltd,SI000405,20-04-2015,DIRECT INVOICE,INR,CU0.55DCMEDPT-90,CU0.55DCMEDPT-90,KG,2928.090,482.600,1413096.234,256123.000,0.000,1669219.234,1669219.234
L G Electronics India (P) Ltd,SI000422,21-04-2015,DIRECT INVOICE,INR,CU0.45DCMEDPT-90,CU0.45DCMEDPT-90,KG,986.500,484.600,478057.900,86648.000,0.000,564705.900,564705.900
